Mes_Servicio,DMU_Servicio,CEM_Porcentaje_Error,servicio,DOE_Prom_Mensual,MA_Potencial_Perdido,Segmento
,,,,45.666666666666664,0.0,OTRO
,,,,0.0,0.0,AGRICOLA
,,,,0.0,0.0,AGRICOLA
1.0,0.0,0.7450980392156863,5100.0,169.08333333333334,0.0,AGRICOLA
2.0,0.0,0.7407407407407408,5400.0,169.08333333333334,0.0,AGRICOLA
3.0,0.0,0.6166666666666667,6000.0,169.08333333333334,0.0,AGRICOLA
3.0,0.0,0.4736842105263158,5700.0,169.08333333333334,0.0,AGRICOLA
4.0,96.0,1.28,7500.0,169.08333333333334,0.0,AGRICOLA
5.0,0.0,0.6349206349206349,6300.0,169.08333333333334,0.0,AGRICOLA
6.0,91.0,1.318840579710145,6900.0,169.08333333333334,0.0,AGRICOLA
6.0,0.0,0.4090909090909091,6600.0,169.08333333333334,0.0,AGRICOLA
1.0,0.0,0.3010752688172043,9300.0,169.08333333333334,0.0,AGRICOLA
1.0,0.0,0.4444444444444444,8100.0,169.08333333333334,0.0,AGRICOLA
2.0,3.0,0.03571428571428571,8400.0,169.08333333333334,0.0,AGRICOLA
3.0,3.0,0.034482758620689655,8700.0,169.08333333333334,0.0,AGRICOLA
4.0,0.0,0.23076923076923078,7800.0,169.08333333333334,0.0,AGRICOLA
4.0,222.0,2.5517241379310347,8700.0,169.08333333333334,0.0,AGRICOLA
5.0,221.0,2.4555555555555557,9000.0,169.08333333333334,0.0,AGRICOLA
11.0,26.0,0.27083333333333337,9600.0,169.08333333333334,0.0,AGRICOLA
2.0,0.0,0.2916666666666667,4800.0,195.0,0.0,AGRICOLA
3.0,0.0,0.8571428571428572,4200.0,195.0,0.0,AGRICOLA
4.0,147.0,2.2272727272727275,6600.0,195.0,0.0,AGRICOLA
4.0,0.0,0.7843137254901961,5100.0,195.0,0.0,AGRICOLA
5.0,0.0,0.7333333333333333,4500.0,195.0,0.0,AGRICOLA
5.0,201.0,2.7916666666666665,7200.0,195.0,0.0,AGRICOLA
